stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
U01808,11338,28.6404,77.1744,East Patel Nagar,11338
U01811,11339,28.63725,77.17465,NPL Colony,11339
U01787,11340,28.6328,77.173,R-Block Rajendra Nagar,11340
U01762,11341,28.6312,77.1712,Janak Vihar,11341
U01692,11342,28.630033,77.166983,Pusa Quarters,11342
U01620,11343,28.6254,77.1622,NASC Dasghara,11343
U01595,11344,28.6228,77.1592,Todapur Village,11344
U01519,11345,28.6262,77.1534,Monitoring  and  Receiving Station,11345
U01490,11346,28.6287,77.1511,Inderpuri A-Block,11346
U01469,11347,28.6336,77.1479,Inder Puri JJ Colony,11347
U01456,11348,28.6372,77.1466,Inder Puri (Krishi Kunj),11348
U01420,11349,28.6395,77.143933,Loha Mandi,11349
U01347,11350,28.6309,77.1383,Payal Cinema,11350
DC3721,11351,28.626762,77.135747,Naraina Vihar / Indra Market,11351
U01230,11352,28.636933,77.1289,Mayapuri Depot Crossing,11352
U01216,11353,28.634183,77.127517,Government Press,11353
U01165,11354,28.6293956874488,77.1235021552078,Metal Forging,11354
DC3910,11355,28.6273471061122,77.1217629599162,BE Block Hari Nagar / ESI Dispensary,11355
U01128,11356,28.625217,77.119867,PS Mayapuri,11356
NS0600,11357,28.6238,77.1188,Bobby Soap,11357
U01097,11358,28.622383,77.117417,Gulab House,11358
U01068,11359,28.618117,77.112183,Zunk Market,11359
DC3915,11360,28.616667,77.110233,Maya Enclave,11360
U00906,11361,28.609892,77.095236,Desu Colony Janak Puri,11361
U00852,11362,28.611016,77.092008,Janak Cinema,11362
DC4708,11363,28.612528,77.088599,Raghu Nagar (Janak Puri),11363
DC4709,11364,28.613809,77.085678,Dabri Crossing (Pankha Road),11364
U00733,11365,28.615822,77.081712,C-2 Janak Puri,11365
U00694,11366,28.617169,77.078734,C-1 Janak Puri,11366
U02565,11367,28.662501,77.217933,Peeli Kothi,11367
U02479,11368,28.664436,77.215266,Tees Hazari Animal Hospital Mori Gate,11368
U02397,11369,28.6629,77.207565,Azad market,11369
U01283,11370,28.674395,77.133887,Maharaja Agrasen Hospital,11370
U01263,11371,28.674684,77.131448,Shivaji Park,11371
U01222,11372,28.675139,77.128069,SPM College,11372
U01183,11373,28.675542,77.125188,Madipur Village,11373
U01117,11374,28.676433,77.118065,Madipur JJ Colony,11374
U01085,11375,28.676881,77.114908,Ordinance Depot,11375
DC3659,11376,28.677279,77.111921,Avtar Enclave / New Multan Nagar,11376
U01018,11377,28.678096,77.10543,Multan Nagar,11377
U00981,11378,28.678694,77.100509,Paschim Vihar Market,11378
DC3660,11379,28.679188,77.096145,Peera Garhi Chowk,11379
U00854,11380,28.679663,77.091766,Peera Garhi Metro Station,11380
U00830,11381,28.679947,77.089403,Udyog Nagar,11381
U00772,11382,28.680544,77.084075,Inder Enclave,11382
U00708,11383,28.681143,77.078896,Jwala Puri / Nangloi Depot,11383
U00677,11384,28.681821,77.07291,Surajmal Stadium,11384
U00614,11385,28.681881,77.069255,Sultanpuri Crossing,11385
U00592,11386,28.681943,77.064075,Nangloi Metro Station,11386
U00576,11387,28.682093,77.058859,Nangloi JJ Colony Lokesh Cinema,11387
